transaction_id,user_id,timestamp,amount,merchant_category,txn_city,home_city,device_type,primary_device,hour_of_day,velocity_1h,account_age_days,avg_user_amount,is_fraud,fraud_pattern
9a8eb36c-204,U01021,2026-01-01 00:00:00,1044.76,food_delivery,Ahmedabad,Ahmedabad,web_mobile,web_mobile,0,1,142,1649.25,0,none
8f09aeab-053,U00999,2026-01-01 00:00:00,541.07,education,Jaipur,Jaipur,pos_terminal,pos_terminal,0,0,176,610.56,0,none
abf3fb7f-8f7,U01247,2026-01-01 00:01:00,970.06,healthcare,Ahmedabad,Ahmedabad,mobile_app,mobile_app,0,0,1435,1849.18,0,none
5f905ff5-4e9,U01053,2026-01-01 00:30:00,1288.88,grocery,Lucknow,Lucknow,pos_terminal,pos_terminal,0,0,1604,1321.26,0,none
88c4e22a-818,U01251,2026-01-01 00:34:00,983.49,healthcare,Kolkata,Kolkata,pos_terminal,pos_terminal,0,0,591,716.53,0,none
58251777-247,U01895,2026-01-01 00:36:00,522.0,entertainment,Kolkata,Kolkata,mobile_app,mobile_app,0,0,635,1356.18,0,none
f9040cc7-2d6,U00565,2026-01-01 00:46:00,1129.76,utilities,Ahmedabad,Ahmedabad,web_desktop,web_desktop,0,1,1607,875.2,0,none
b267c2d2-ade,U01929,2026-01-01 01:02:00,942.13,grocery,Delhi,Delhi,web_mobile,web_mobile,1,0,475,3003.74,0,none
b51df263-c18,U01968,2026-01-01 01:14:00,1560.86,travel,Jaipur,Jaipur,web_desktop,web_desktop,1,0,52,2131.0,0,none
263f69dc-ab5,U00296,2026-01-01 01:15:00,382.88,healthcare,Mumbai,Mumbai,pos_terminal,pos_terminal,1,0,158,426.65,0,none
b44bb9c5-acd,U01926,2026-01-01 01:19:00,2666.87,gaming,Chennai,Chennai,pos_terminal,pos_terminal,1,0,1259,4885.09,0,none
3510f391-16a,U01092,2026-01-01 01:23:00,1725.63,food_delivery,Bangalore,Bangalore,pos_terminal,pos_terminal,1,0,955,1200.06,0,none
5374f355-7d5,U00414,2026-01-01 01:24:00,976.73,education,Ahmedabad,Ahmedabad,mobile_app,mobile_app,1,0,1741,1004.12,0,none
88e69ae6-4f0,U01540,2026-01-01 01:39:00,555.34,healthcare,Mumbai,Mumbai,mobile_app,mobile_app,1,1,166,798.45,0,none
d88f9f14-c5f,U01182,2026-01-01 01:40:00,817.7,electronics,Jaipur,Kolkata,web_mobile,web_mobile,1,0,1582,1364.42,0,none
c7723d12-eaa,U01770,2026-01-01 01:47:00,2086.94,grocery,Delhi,Delhi,web_desktop,web_desktop,1,0,155,2119.58,0,none
30d938bf-0ef,U00975,2026-01-01 02:01:00,639.37,healthcare,Mumbai,Mumbai,web_desktop,web_desktop,2,1,1982,2088.81,0,none
